epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6212,0.50726,0.91439,1.04173,1.04486,0,0.01501,1,0.58058,0.46968,0.01501,1,0.58058,0.50887,0.79641,1.22452,2.46142,1.18404,0,0.000197222,0.000197222,0.080475
2,156.982,0.46851,0.73379,0.62633,1.0152,0,0.99921,1,0.995,0.995,0.99921,1,0.995,0.69933,0.20609,3.70041,0.39079,0.69193,0,0.000396834,0.000396834,0.0606746
3,234.534,0.45447,0.64581,0.61567,1.01919,0,0.99902,1,0.995,0.96841,0.99902,1,0.995,0.95481,0.31718,0.56669,0.38742,0.75852,0,0.000594891,0.000594891,0.0408727
4,312.166,0.42471,0.62472,0.56821,0.99662,0,0.99851,0.97183,0.99055,0.97544,0.99851,0.97183,0.99055,0.98992,0.27793,0.22828,0.47633,0.76429,0,0.000790232,0.000790232,0.021068
5,391.994,0.44792,0.81516,0.55523,1.0106,0,0.99567,1,0.995,0.8955,0.99567,1,0.995,0.9908,0.45006,0.18223,0.65022,0.83394,0,0.000981714,0.000981714,0.00125949
6,472.17,0.43945,0.50743,0.51566,0.98807,0,0.99924,1,0.995,0.995,0.99924,1,0.995,0.995,0.18745,0.14021,0.32833,0.68695,0,0.000975773,0.000975773,0.000975773
7,559.43,0.47761,0.92815,0.53787,1.03404,0,0.99863,1,0.995,0.98908,0.99863,1,0.995,0.995,0.28812,0.09386,0.50519,0.7395,0,0.000965239,0.000965239,0.000965239
8,642.823,0.41696,0.70709,0.49071,0.9895,0,0.99919,1,0.995,0.995,0.99919,1,0.995,0.995,0.20146,0.09014,0.26375,0.69296,0,0.000952889,0.000952889,0.000952889
9,721.952,0.43906,0.8256,0.51742,0.99442,0,0.99878,1,0.995,0.98318,0.99878,1,0.995,0.995,0.27116,0.14783,0.55689,0.71634,0,0.000938772,0.000938772,0.000938772
10,800.855,0.38778,0.51734,0.44722,0.95804,0,0.9989,1,0.995,0.995,0.9989,1,0.995,0.995,0.27314,0.09788,0.46117,0.71548,0,0.000922942,0.000922942,0.000922942
11,879.778,0.38225,0.54179,0.43076,0.96293,0,0.9992,1,0.995,0.99376,0.9992,1,0.995,0.995,0.24709,0.09087,0.2796,0.69863,0,0.000905463,0.000905463,0.000905463
12,958.138,0.37847,0.59679,0.44556,0.9538,0,0.99826,1,0.995,0.995,0.99826,1,0.995,0.995,0.19241,0.08706,0.42442,0.68426,0,0.000886404,0.000886404,0.000886404
